pathogen_id,DRUG NAME,SMILES
Acinetobacter baumannii,"1-nonadecene, (14Z)-1,14-nonadecadiene",CCCCCCCCCCCCCCCCCC=C
Acinetobacter baumannii,berninamycin K,C=C(NC(=O)C(=C)NC(=O)C1=CC=C(C2=NC(C(=O)N[C@H](C(N)=O)[C@@H](C)O)=CS2)C(C2=COC(C(=C)NC(=O)C(=C)NC(=O)C3=C(C)OC(C(=C)NC(=O)[C@@H](NC(=O)C(=C)NC(=O)C4=C(C)OC(C(=O)CC)=N4)C(C)(C)O)=N3)=N2)=N1)C(N)=O
Acinetobacter baumannii,berninamycin J,C=C(NC(=O)C(=C)NC(=O)C1=CC=C(C2=NC(C(=O)N[C@H](C(N)=O)[C@@H](C)O)=CS2)C(C2=COC(C(=C)NC(=O)C(=C)NC(=O)C3=C(C)OC(C(=C)NC(=O)[C@@H](NC(=O)C(=C)NC(=O)C4=C(C)OC(C(=O)CC)=N4)C(C)C)=N3)=N2)=N1)C(N)=O
Acinetobacter baumannii,berninamycin A,C/C=C\1/C2=NC(=C(O2)C)C(=O)NC(=C)C(=O)N[C@H](C(=O)NC(=C)C3=NC(=C(O3)C)C(=O)NC(=C)C(=O)NC(=C)C4=NC(=CO4)C5=C(C=CC(=N5)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C6=NC(=CS6)C(=O)N[C@H](C(=O)N1)[C@@H](C)O)C(C)(C)O
Acinetobacter baumannii,berninamycin B,C/C=C\1/C2=NC(=C(O2)C)C(=O)NC(=C)C(=O)N[C@H](C(=O)NC(=C)C3=NC(=C(O3)C)C(=O)NC(=C)C(=O)NC(=C)C4=NC(=CO4)C5=C(C=CC(=N5)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C6=NC(=CS6)C(=O)N[C@H](C(=O)N1)[C@@H](C)O)C(C)C
Acinetobacter baumannii,mycosubtilin,CCC(C)CCCCCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC(=O)N)CO)CC(=O)N)CC(=O)N)CC3=CC=C(C=C3)O)CCC(=O)N)CC(=O)N
Acinetobacter baumannii,baumannoferrin A,CCCCCCC/C=C/C(N(CCCNC(CC(C(O)=O)(O)CC(NCCC(N1C(CCC1(C(O)=O)O)=O)C(O)=O)=O)=O)O)=O
Acinetobacter baumannii,baumannoferrin B,CCCCCCCCCC(N(CCCNC(CC(C(O)=O)(O)CC(NCCC(N1C(CCC1(C(O)=O)O)=O)C(O)=O)=O)=O)O)=O
Acinetobacter baumannii,parabactin,C[C@H]1OC(C2=CC=CC=C2O)=N[C@@H]1C(=O)N(CCCCNC(=O)C1=C(O)C(O)=CC=C1)CCCNC(=O)C1=C(O)C(O)=CC=C1
Acinetobacter baumannii,acinetobactin,CC1OC(=NC1C(=O)N(O)CCC1=CNC=N1)C1=CC=CC(O)=C1O
Escherichia coli,sodorifen,C=C1[C@H](C)[C@@]2(C)C(C)=C(C)[C@](C)(C2C)[C@@H]1C
Escherichia coli,enterobactin,C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O)NC(=O)C4=C(C(=CC=C4)O)O
Escherichia coli,pseudopyronine A,CCCCCCC1=C(O)CC(CCCCC)OC1=O
Escherichia coli,pseudopyronine B,CCCCCCCC1=CC(=O)C(O)(CCCCCC)O1
Escherichia coli,"1,3,6,8-tetrahydroxynaphthalene",C1=C2C=C(C=C(C2=C(C=C1O)O)O)O
Escherichia coli,APE Ec,CC1=C(O)C=CC(/C=C/C=C/C=C/C=C/C=C/C=C/C(OC)=O)=C1
