"HOST PROTEIN","PATHOGEN PROTEIN","host_links","path_links","PATHOGEN NAME","TAXONOMY","PUBMED ID","GENE SYMBOL HOST","GENE SYMBOL PATHOGEN","HOST UNIPROT ENTRY","PATHOGEN UNIPROT ENTRY","SOURCE DATABASE","CONFIDENCE SCORE","INTERACTION Method","Status","Category"
"A0PJ79","Q81VT8","https://www.uniprot.org/uniprot/A0PJ79","https://www.uniprot.org/uniprot/Q81VT8","Bacillus anthracis","1392","20711500","MRPL1","rpoB","A0PJ79_HUMAN","RPOB_BACAN","IntAct","0.37","two hybrid pooling approach","unreviewed","Bacteria"
"A1L0T0","P06428","https://www.uniprot.org/uniprot/A1L0T0","https://www.uniprot.org/uniprot/P06428","Human papillomavirus type 8","10579","22898364","ILVBL","E6","ILVBL_HUMAN","VE6_HPV08","VirHostNet","0.33","two hybrid","reviewed","Virus"
"A1L0V1","P0C706","https://www.uniprot.org/uniprot/A1L0V1","https://www.uniprot.org/uniprot/P0C706","Human gammaherpesvirus 4","10376","17446270","ACTN1","CVC2","A1L0V1_HUMAN","CVC2_EBVG","IntAct","0.37","two hybrid","unreviewed","Virus"
"A1L0V1","P0C736","https://www.uniprot.org/uniprot/A1L0V1","https://www.uniprot.org/uniprot/P0C736","Human gammaherpesvirus 4","10376","17446270","ACTN1","-","A1L0V1_HUMAN","EAR_EBVG","IntAct","0.37","two hybrid","unreviewed","Virus"
"A1L0V1","P0CK47","https://www.uniprot.org/uniprot/A1L0V1","https://www.uniprot.org/uniprot/P0CK47","Human herpesvirus 4 strain B95-8","10377","17446270","ACTN1","NEC1","A1L0V1_HUMAN","NEC1_EBVB9","IntAct","0.37","two hybrid","unreviewed","Virus"
"A1L0V1","Q69139","https://www.uniprot.org/uniprot/A1L0V1","https://www.uniprot.org/uniprot/Q69139","Human gammaherpesvirus 4","10376","17446270","ACTN1","-","A1L0V1_HUMAN","Q69139_EBVG","IntAct","0.37","two hybrid","unreviewed","Virus"
"A2RRP1","Q5NIJ3","https://www.uniprot.org/uniprot/A2RRP1","https://www.uniprot.org/uniprot/Q5NIJ3","Francisella tularensis subsp. tularensis SCHU S4","177416","20711500","NBAS","sdhA","NBAS_HUMAN","Q5NIJ3_FRATT","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"A5YKK6","E5LBX2","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/E5LBX2","Human gammaherpesvirus 8","37296","25544563","CNOT1","ORF49","CNOT1_HUMAN","E5LBX2_HHV8","HPIDB","0.35","affinity technology","reviewed","Virus"
"A5YKK6","P29991-PRO_0000037941","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/P29991","Dengue virus 2 16681-PDK53","31635","21911577","CNOT1","-","CNOT1_HUMAN","POLG_DEN27","IntAct","0.37","two hybrid","reviewed","Virus"
"A5YKK6","P29991-PRO_0000037944","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/P29991","Dengue virus 2 16681-PDK53","31635","21911577","CNOT1","-","CNOT1_HUMAN","POLG_DEN27","IntAct","0.37","two hybrid","reviewed","Virus"
"A5YKK6","Q2MG95","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/Q2MG95","Human herpesvirus 4 strain B95-8","10377","22810586","CNOT1","BVLF1","CNOT1_HUMAN","Q2MG95_EBVB9","MINT","0.35","tandem affinity purification","reviewed","Virus"
"A5YKK6","Q5NGF1","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/Q5NGF1","Francisella tularensis subsp. tularensis SCHU S4","177416","20711500","CNOT1","purCD","CNOT1_HUMAN","Q5NGF1_FRATT","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
"A5YKK6","Q7CHJ5","https://www.uniprot.org/uniprot/A5YKK6","https://www.uniprot.org/uniprot/Q7CHJ5","Yersinia pestis","632","20711500","CNOT1","YPO1388","CNOT1_HUMAN","Q7CHJ5_YERPE","IntAct","0.37","two hybrid pooling approach","reviewed","Bacteria"
